,speed,acceleration,stp,BinNo
438,34.0,0.2,5.286340228581582,23
439,35.12,1.12,10.916868748856228,25
440,36.0,0.88,9.560914828931,25
441,36.0,0.0,3.4312731134465153,23
442,34.82,-1.18,3.4312731134465153,23
443,33.25,-1.57,0.0,22
444,32.09,-1.16,0.0,0
445,32.0,-0.09,0.0,22
446,32.0,0.0,2.8869060768617643,22
447,32.0,0.0,3.7060703502066117,23
448,32.0,0.0,2.8869060768617643,22
449,32.0,0.0,2.8869060768617643,22
450,32.85,0.85,8.40014118995676,24
451,33.01,0.16,4.859554340559144,23
452,34.0,0.99,9.664187927149008,25
453,33.68,-0.32,0.0,22
454,32.52,-1.16,0.0,22
455,32.0,-0.52,0.0,22
456,32.0,0.0,3.7087070655692425,23
457,32.95,0.95,9.067312386265002,25
458,33.0,0.05,3.3365717361787905,23
459,33.0,0.0,3.8372752743488014,23
460,33.42,0.42,5.789042442806433,23
461,34.0,0.58,6.966990783403613,24
462,34.74,0.74,8.22721530747447,24
463,35.0,0.26,5.869895185131011,23
464,35.0,0.0,3.2893906407498883,23
465,35.0,0.0,3.2893906407498883,23
466,35.0,0.0,3.2893906407498883,23
467,35.0,0.0,4.10899726318879,23
468,35.0,0.0,3.2893906407498883,23
469,35.84,0.84,9.233319919016274,25
470,37.99,2.15,19.529432012028725,28
471,38.0,0.01,4.620253119609056,23
472,37.69,-0.31,0.0,22
473,38.41,0.72,9.977824637632255,25
474,39.37,0.96,12.084312328845018,27
475,39.0,-0.37,1.916002942036123,22
476,39.0,0.0,4.702815894556511,23
477,38.1,-0.9,0.0,22
478,39.0,0.9,10.673021960974378,25
479,39.41,0.41,7.891894904505165,24
480,40.57,1.16,13.238589286291003,27
481,41.73,1.16,13.691772987694735,27
482,42.0,0.27,6.565641926184926,24
483,41.92,-0.08,4.5281811927966205,23
484,40.0,-1.92,0.0,22
485,40.0,0.0,4.040406188964337,23
486,39.49,-0.51,0.0,22
487,37.66,-1.83,0.0,22
488,37.0,-0.66,0.0,22
489,36.01,-0.99,0.0,22
490,34.86,-1.15,0.0,22
491,33.7,-1.16,0.0,22
492,32.54,-1.16,0.0,0
493,29.54,-3.0,0.0,0
494,26.46,-3.08,0.0,0
495,22.28,-4.18,0.0,0
496,19.91,-2.37,0.0,0
497,18.76,-1.15,0.0,0
498,17.6,-1.16,0.0,0
499,16.44,-1.16,0.0,0
500,14.57,-1.87,0.0,0
501,13.13,-1.44,0.0,0
502,11.97,-1.16,0.0,0
503,10.81,-1.16,0.0,0
504,9.31,-1.5,0.0,0
505,7.5,-1.81,0.0,0
506,6.34,-1.16,0.0,0
507,4.37,-1.97,0.0,0
508,3.03,-1.34,0.0,0
509,1.87,-1.16,0.0,0
510,0.71,-1.16,0.0,0
511,0.0,-0.71,0.0,1
512,0.0,0.0,0.0,1
513,0.0,0.0,0.0,1
514,0.0,0.0,0.0,1
515,0.0,0.0,0.0,1
516,0.0,0.0,0.0,1
517,0.0,0.0,0.0,1
518,0.0,0.0,0.0,1
519,0.0,0.0,0.0,1
520,0.0,0.0,0.0,1
521,0.0,0.0,0.0,1
