,Acc,B_in_series,B_out_series,BinNo,Braking,Coasting,Cruise,EE A,EE GEN,EE RB1,EE RB2,Eng_Tract,Eng_series,Eng_tmp_series,Fuel flag,GEN flag1,GEN flag2,Idle,Jerk,New Bin,Old Bin,Power(kW),RB_Flag_series,SOC,SOC_hg_series,SOC_low_series,SOC_series,acceleration,dErr_series,new_bin_1,sigErr_series,speed,stp,New Bin_series,New Bin 1_series,Abs Trctv Pwr
358,-3.0999999999999996,58.97110502479265,5.691471969696968,0,True,False,False,0.0,0.0,65.52345002754738,65.52345002754738,0.0,0.0,0.0,False,False,False,False,0.0,0,0,-65.52345002754738,True,58.3154501322916,True,False,60.90009128239251,-3.1,-0.08409032994806864,-1,-0.9000912823925091,7.26,-3.831780703365344,0,-1,65.52345002754738
359,-2.3099999999999996,28.603338695497236,5.691471969696968,0,True,False,False,0.0,0.0,31.78148743944137,31.78148743944137,0.0,0.0,0.0,False,False,False,False,0.0,0,0,-31.78148743944137,True,58.34902802558898,True,False,60.93625268820975,-2.31,-0.036161405817239256,-1,-0.9362526882097484,4.95,-1.8585665169263959,0,-1,31.78148743944137
360,-0.27000000000000046,46.17,7.737534556880325,12,False,False,True,1.536142869205521,0.0,0.0,0.0,0.0,51.300000000000004,51.300000000000004,False,False,False,False,0.0,12,12,1.536142869205521,False,58.34175316309113,True,False,60.996909988467195,-0.27,-0.06065730025744642,-1,-0.9969099884671948,4.68,0.08983291632780824,12,12,1.536142869205521
361,2.0,92.34,75.50119033201331,13,False,False,False,52.411740352059866,0.0,0.0,0.0,0.0,102.60000000000001,102.60000000000001,False,False,False,False,0.0,12,13,52.411740352059866,False,58.227416858078854,True,False,61.0234863926149,2.0,-0.026576404147704125,-1,-1.023486392614899,6.68,3.0650140556760155,13,13,52.411740352059866
362,1.3200000000000003,44.37117805961497,65.38854937904306,12,False,False,False,44.81937177738885,0.0,0.0,0.0,0.0,49.301308955127745,0.0,False,False,False,False,-0.6799999999999997,12,12,44.81937177738885,False,58.12905775966311,True,False,60.99031503636579,1.32,0.033171356249106054,-1,-0.9903150363657929,8.0,2.6210158934145524,12,12,44.81937177738885
363,-0.16000000000000014,46.17,13.051968593422497,12,False,False,True,5.5261136551606524,0.0,0.0,0.0,0.0,51.300000000000004,51.300000000000004,False,False,False,False,-1.4800000000000004,12,12,5.5261136551606524,False,58.11338649399617,True,False,61.04258465664133,-0.16,-0.052269620275538387,-1,-1.0425846566413313,7.84,0.323164541237465,12,12,5.5261136551606524
364,-0.8399999999999999,0.0,5.691471969696968,11,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,11,-10.84293267664172,False,58.10934425538132,True,False,61.033601904163916,-0.84,0.00898275247741509,-1,-1.0336019041639162,7.0,-0.634089630212966,1,-1,10.84293267664172
365,-0.46999999999999975,0.0,5.691471969696968,11,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,11,-2.1342732491670056,False,58.10530201676648,True,False,61.02461915168649,-0.47,0.008982752477429301,-1,-1.0246191516864869,6.53,-0.12481130112087752,1,-1,2.1342732491670056
366,1.3599999999999994,44.79045556868655,65.95264623221688,12,False,False,False,45.242884412814696,0.0,0.0,0.0,0.0,49.76717285409617,0.0,False,False,False,False,0.0,12,12,45.242884412814696,False,58.00605168805733,True,False,60.99121922955339,1.36,0.033399922133099835,-1,-0.991219229553387,7.89,2.6457827141996897,12,12,45.242884412814696
367,2.6800000000000006,138.51000000000002,148.1316407273742,14,False,False,False,0.0,0.0,0.0,0.0,106.9412298998889,153.9,153.9,True,False,False,False,1.3200000000000012,14,14,106.9412298998889,False,58.00200944944249,True,False,60.97603355921346,2.68,0.015185670339924684,14,-0.9760335592134624,10.57,6.253873093560753,14,14,106.9412298998889
