metbinyearfuelroadsource,CycleBinCounts,Fraction,STPOMBin,CycleObservedWork,Meteo ID,SourceTypeID, Location-season,opModeBin,year,FuelId, RoadTypeId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117,EnergyConsumptionRate,CycleEnergyConsumption,RouteEnergyConsumption
12320112542,59.0,5.566037735849057,23,1.2459751138929207,1,42,Atlanta Summer,23,2011,2,5,0.00120134341947656,0.004504191650767079,0.0100353932973386,0.000518839913903927,2.29966390179469e-05,0.000139354197017385,0.00399408747503573,0.00068250350553474,0.000694743340943656,20.363910675048995,0.000263198647492875,20.3819274902344,0.000219870386445104,0.000191758220353219,1.8065872050480202e-05,1.00465160054833e-05,0.0,0.0,0.000213282843712177,1.7524386748845802e-05,9.747692426268851e-06,0.0,0.0,277.7008004027989,4.551207562156982,8.197395352722253
12420112542,28.0,2.6415094339622645,24,0.9977733164971461,1,42,Atlanta Summer,24,2011,2,5,0.0013225553317776,0.004896409643947711,0.0146858897408792,0.000510671467964125,2.29966390179469e-05,0.00019938255991291698,0.0058449868587426,0.0008118827772705101,0.00082392982953176,29.135752360025997,0.000376573608567312,29.1535975138344,0.000345977661709188,0.00030305257466049,2.85509690911563e-05,1.4374127545125e-05,0.0,0.0,0.000335610155464865,2.76951600236927e-05,1.3946595913693799e-05,0.0,0.0,397.3226819584769,3.090287526343709,5.566063129632252
12520112542,50.0,4.716981132075472,25,3.081932981670874,1,42,Atlanta Summer,25,2011,2,5,0.0014117963580702099,0.0052607342836381195,0.016437604701612495,0.0004896925274427599,2.29966390179469e-05,0.00025494451832248997,0.00654217832688646,0.000922104994723823,0.000933656537237458,37.25515238444059,0.00048151398853709407,37.272555033365606,0.000527917682726792,0.000465667075938354,4.3871260231754196e-05,1.83797701727906e-05,0.0,0.0,0.000512098522146208,4.25562733047021e-05,1.78330644189375e-05,0.0,0.0,508.0452399570746,7.056183888292702,12.70922677638342
12720112542,0.0,0.0,27,0.0,1,42,Atlanta Summer,27,2011,2,5,0.0015861741693091699,0.00455492594653604,0.023482322943399005,0.00047203951646679197,2.29966390179469e-05,0.000345784185810771,0.00934596424809802,0.00111413465286125,0.00112527033763854,50.5294596354167,0.000653082892919583,50.546493530274,0.000700257035229396,0.000617182060523188,5.81459510537271e-05,2.49286345213781e-05,0.0,0.0,0.000679273175289083,5.64030655520281e-05,2.41872580962385e-05,0.0,0.0,689.0675306302751,0.0,0.0
12820112542,0.0,0.0,28,0.0,1,42,Atlanta Summer,28,2011,2,5,0.0018820543644627102,0.00435197820392354,0.03287520940428651,0.00046291709910899003,2.29966390179469e-05,0.00048409741975775,0.013084379004378099,0.00141913730415885,0.0014300577585117699,70.7412618001302,0.0009143154602497811,70.75810750325519,0.00101808289885715,0.000898531229419552,8.46521288622167e-05,3.49001293784563e-05,0.0,0.0,0.000987575976978406,8.211485904515311e-05,3.38621582424521e-05,0.0,0.0,964.6939205449038,0.0,0.0
12920112542,0.0,0.0,29,0.0,1,42,Atlanta Summer,29,2011,2,5,0.0024197890178735398,0.00559544086483281,0.04226820762278329,0.000595180019483146,2.29966390179469e-05,0.00062241066522499,0.016822693178976,0.0018246089584484399,0.00183865020805271,90.95306396484382,0.00117554585449396,90.9726867675781,0.00147624748206,0.00130813065940552,0.000123241774645062,4.48716326294135e-05,0.0,0.0,0.00143200956760365,0.000119547587170625,4.35369503672219e-05,0.0,0.0,1240.318017637238,0.0,0.0
13020112542,0.0,0.0,30,0.0,1,42,Atlanta Summer,30,2011,2,5,0.0029575135808196902,0.0068388578865020795,0.05166109408378329,0.000727441893218385,2.29966390179469e-05,0.0007607238718871151,0.020561117869343698,0.00223007157118594,0.00224723245067552,111.16476440430202,0.00143677943075698,111.187154134115,0.00178192375096844,0.00157837586690823,0.00014870145711635402,5.48430158839135e-05,0.0,0.0,0.00172852639783135,0.00014424403805909399,5.32118577514969e-05,0.0,0.0,1515.9454720765323,0.0,0.0
13320112542,23.0,2.1698113207547167,33,0.4963897198303591,1,42,Atlanta Summer,33,2011,2,5,0.00146561836249431,0.005301920447790419,0.0093469907927025,0.0007242333807779581,3.06621853572625e-05,0.00010069387129381801,0.003720101277723329,0.0007413850851460419,0.0007584701440666529,14.714426676431897,0.000190180571128931,14.739128960504198,0.000162564517672264,0.000141934116678986,1.33718221048993e-05,7.25934970407458e-06,0.000202035557271708,0.0,0.00015769395577080601,1.2971029415590801e-05,7.04343000279556e-06,5.28887386382042e-05,0.0,200.65945371165054,1.2819909542688785,2.309054585454916
13520112542,114.0,10.754716981132075,35,4.434771396803664,1,42,Atlanta Summer,35,2011,2,5,0.0017656935012079198,0.0063590367355775,0.0190439887164,0.000638210268385194,3.06621853572625e-05,0.000299280864864056,0.007579497257526941,0.00112748462975611,0.00114254000838325,43.73401896158889,0.000565253405107389,43.75691731770829,0.000320387274162694,0.000273084289599667,2.57276340865556e-05,2.15760936346972e-05,0.0,0.0,0.00031079005040940297,2.49565812787806e-05,2.09343671081625e-05,0.0,0.0,596.3986689292498,18.885957849426244,34.01639257103499
13720112542,0.0,0.0,37,0.0,1,42,Atlanta Summer,37,2011,2,5,0.00212564853174833,0.006006888735353471,0.0317398829562681,0.0006326428212762219,3.06621853572625e-05,0.00046334577806798606,0.0126324959801169,0.0014930057104973599,0.00150793106359333,67.7087809244792,0.000875121396448875,67.7315606011292,0.00046843225087893104,0.000397572914557208,3.74558718350375e-05,3.34040287018278e-05,0.0,0.0,0.000454399171253,3.63331616881625e-05,3.24106017867764e-05,0.0,0.0,923.3402776131155,0.0,0.0
13820112542,0.0,0.0,38,0.0,1,42,Atlanta Summer,38,2011,2,5,0.00256376389703903,0.004836796086086249,0.0444357771945458,0.000644759701167958,3.06621853572625e-05,0.0006486832308938609,0.0176853895667486,0.0019190041959720801,0.0019342149692218099,94.79226345486111,0.00122516974806786,94.81530083550419,0.000680103117499833,0.0005788066478594861,5.45304504966125e-05,4.6765734345576396e-05,0.0,0.0,0.000659729344786486,5.2895913364005604e-05,4.53747523402444e-05,0.0,0.0,1292.6761702943422,0.0,0.0
13920112542,0.0,0.0,39,0.0,1,42,Atlanta Summer,39,2011,2,5,0.00329626650788361,0.006218696901012501,0.0571319694605944,0.000828978052747208,3.06621853572625e-05,0.000834019115750889,0.022738507500080603,0.00246728845508597,0.0024868456160018096,121.875596788194,0.0015752080620990302,121.90249294704896,0.000982177628935056,0.000842661501842986,7.93882841207958e-05,6.0127132807490295e-05,0.0,0.0,0.0009527521017136942,7.70087297799667e-05,5.8338754166066697e-05,0.0,0.0,1662.001472320196,0.0,0.0
14020112542,0.0,0.0,40,0.0,1,42,Atlanta Summer,40,2011,2,5,0.004028774810043049,0.007600628352015,0.0698277146858444,0.0010131964561171298,3.06621853572625e-05,0.0010193580682324702,0.027791476420336098,0.0030155725073402807,0.00303947455384125,148.959079318583,0.00192526044944917,148.98984103733298,0.00118602372337288,0.00101674472939017,9.57890562050222e-05,7.34888367333042e-05,0.0,0.0,0.00115049080260279,9.29180069356833e-05,7.13030549882708e-05,0.0,0.0,2031.3416230999449,0.0,0.0
