,Acc,BinNo,Braking,Coasting,Cruise,EE A,EE GEN,EE RB1,EE RB2,Eng_Tract,Fuel flag,GEN flag1,GEN flag2,Idle,Jerk,Old Bin,Power(kW),SOC,acceleration,speed,stp
56,0.0,12,False,False,True,22.221627633421974,0.0,0.0,0.0,0.0,False,False,False,False,-0.23999999999999844,12,22.221627633421974,58.872610025267804,0.0,17.0,1.2995103879194136
57,0.23000000000000043,12,False,False,True,35.677447338105324,0.0,0.0,0.0,0.0,False,False,False,False,0.23000000000000043,12,35.677447338105324,58.79348898333203,0.23,17.23,2.086400429128966
58,1.5399999999999991,14,False,False,False,0.0,0.0,0.0,0.0,120.55423483512608,True,False,False,False,1.3099999999999987,14,120.55423483512608,58.78944674471719,1.54,18.77,7.049955253516145
59,1.7699999999999996,14,False,False,False,0.0,0.0,0.0,0.0,148.01096002436668,True,False,False,False,0.23000000000000043,14,148.01096002436668,58.785404506102346,1.77,20.54,8.655611697331384
60,-0.9399999999999977,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-2.7099999999999973,11,-34.73996843431366,58.7813622674875,-0.94,19.6,-2.0315771014218513
61,-1.4600000000000009,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,11,-63.68198754656013,58.77732002887266,-1.46,18.14,-3.724092838980124
62,-0.16000000000000014,12,False,False,True,14.18193736909747,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,14.18193736909747,58.743433645962575,-0.16,17.98,0.8293530625203198
63,-0.9800000000000004,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,11,-32.89987204326706,58.73939140734773,-0.98,17.0,-1.9239691253372548
64,-0.6600000000000001,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,11,-14.437725920433348,58.73534916873289,-0.66,16.34,-0.8443114573352835
65,-1.3399999999999999,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,11,-47.20345004688556,58.731306930118045,-1.34,15.0,-2.760435675256465
66,0.0,12,False,False,True,19.29967981514613,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,19.29967981514613,58.6866508871784,0.0,15.0,1.1286362464997737
67,0.0,12,False,False,True,19.29967981514613,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,19.29967981514613,58.64199484423876,0.0,15.0,1.1286362464997737
68,0.9600000000000009,13,False,False,True,0.0,0.0,0.0,0.0,71.38012170990444,True,False,False,False,0.9600000000000009,13,71.38012170990444,58.637952605623916,0.96,15.96,4.174276123386225
69,-3.610000000000001,0,True,False,False,0.0,0.0,100.0,100.0,0.0,False,False,False,False,-4.570000000000002,0,-131.9063370690293,58.75228157913028,-3.61,12.35,-7.713820881229782
70,2.9299999999999997,15,False,False,False,0.0,0.0,0.0,0.0,167.82940221538917,True,False,False,False,0.0,15,167.82940221538917,58.74823934051544,2.93,15.28,9.81458492487656
71,-1.0099999999999998,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-3.9399999999999995,11,-29.423334051187897,58.744197101900596,-1.01,14.27,-1.720662810010988
72,-1.6799999999999997,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,11,-54.05054480983148,58.74015486328575,-1.68,12.59,-3.160850573674355
73,-0.33999999999999986,12,False,False,True,1.6868557778708668,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,1.6868557778708668,58.73256284399357,-0.34,12.25,0.09864653671759455
74,-2.9700000000000006,0,True,False,False,0.0,0.0,79.66362296588285,79.66362296588285,0.0,False,False,False,False,0.0,0,-79.66362296588285,58.82281940150312,-2.97,9.28,-4.658691401513616
75,-1.2799999999999994,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,11,-23.99978748282307,58.818777162888274,-1.28,8.0,-1.4034963440247408
76,0.0,12,False,False,True,9.880413999127395,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,9.880413999127395,58.793942807271904,0.0,8.0,0.577801988253064
77,0.3800000000000008,12,False,False,True,20.90239744422068,0.0,0.0,0.0,0.0,False,False,False,False,0.3800000000000008,12,20.90239744422068,58.74591404204885,0.38,8.38,1.2223624236386361
78,1.1499999999999986,12,False,False,False,48.11270183635256,0.0,0.0,0.0,0.0,False,False,False,False,0.7699999999999978,12,48.11270183635256,58.64062453525987,1.15,9.53,2.813608294523541
79,1.1600000000000001,13,False,False,False,0.0,0.0,0.0,0.0,54.40306321234079,True,False,False,False,0.010000000000001563,13,54.40306321234079,58.636582296645024,1.16,10.69,3.18146568493221
80,0.3100000000000005,12,False,False,True,25.068867547459995,0.0,0.0,0.0,0.0,False,False,False,False,-0.8499999999999996,12,25.068867547459995,58.57978570713065,0.31,11.0,1.466015646050292
81,-2.0,0,True,False,False,0.0,0.0,48.39054600306171,48.39054600306171,0.0,False,False,False,False,-2.3100000000000005,0,-48.39054600306171,58.6330239443717,-2.0,9.0,-2.829856491407117
82,0.0,12,False,False,True,11.164495664429369,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,11.164495664429369,58.60548739669871,0.0,9.0,0.652894483299963
83,0.3200000000000003,12,False,False,True,21.446573181026565,0.0,0.0,0.0,0.0,False,False,False,False,0.3200000000000003,12,21.446573181026565,58.55631348051437,0.32,9.32,1.2541855661419044
84,0.6799999999999997,12,False,False,True,0.0,0.0,0.0,0.0,34.964453302366486,True,False,False,False,0.35999999999999943,12,34.964453302366486,58.552271241899525,0.68,10.0,2.04470487148342
85,-0.6400000000000006,11,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-1.3200000000000003,11,-8.189017031578189,58.54822900328468,-0.64,9.36,-0.4788898848876133
86,-0.35999999999999943,12,False,False,True,0.4445881642809644,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,0.4445881642809644,58.54325118351605,-0.36,9.0,0.025999307852687975
87,0.9499999999999993,12,False,False,True,43.67504042930812,0.0,0.0,0.0,0.0,False,False,False,False,0.0,12,43.67504042930812,58.447300189789026,0.95,9.95,2.554095931538486
88,4.380000000000001,16,False,False,False,0.0,0.0,0.0,0.0,226.013831811362,True,False,False,False,3.4300000000000015,16,226.013831811362,58.44325795117418,4.38,14.33,13.217183146863274
89,3.200000000000001,16,False,False,False,0.0,0.0,0.0,0.0,208.6172056263422,True,False,False,False,-1.1799999999999997,16,208.6172056263422,58.43921571255934,3.2,17.53,12.1998365863358
90,1.8900000000000006,14,False,False,False,0.0,0.0,0.0,0.0,147.37212413584737,True,False,False,False,-1.3100000000000005,14,147.37212413584737,58.435173473944495,1.89,19.42,8.618252873441365
91,0.5799999999999983,13,False,False,True,0.0,0.0,0.0,0.0,65.23442153361489,True,False,False,False,-1.3100000000000023,13,65.23442153361489,58.43113123532965,0.58,20.0,3.8148784522581805
92,0.7399999999999984,13,False,False,True,0.0,0.0,0.0,0.0,78.82776723632253,True,False,False,False,0.16000000000000014,13,78.82776723632253,58.42708899671481,0.74,20.74,4.609810949492545
93,0.26000000000000156,12,False,False,True,0.0,0.0,0.0,0.0,46.53817383331432,True,False,False,False,-0.4799999999999969,12,46.53817383331432,58.423046758099964,0.26,21.0,2.721530633527153
94,0.10999999999999943,12,False,False,True,36.336556252188274,0.0,0.0,0.0,0.0,False,False,False,False,-0.15000000000000213,12,36.336556252188274,58.34253870245611,0.11,21.11,2.1249448100694894
95,2.7300000000000004,16,False,False,False,0.0,0.0,0.0,0.0,248.63182910146224,True,False,False,False,2.620000000000001,16,248.63182910146224,58.33849646384127,2.73,23.84,14.539873046869136
96,3.16,28,False,False,False,0.0,0.0,0.0,0.0,321.3910995300833,True,False,False,False,0.4299999999999997,28,321.3910995300833,58.33445422522642,3.16,27.0,18.79480114211013
97,0.0,22,False,False,True,39.10020202617528,0.0,0.0,0.0,0.0,False,False,False,False,-3.16,22,39.10020202617528,58.24813041669118,0.0,27.0,2.2865615219985544
98,2.0500000000000007,27,False,False,False,0.0,0.0,0.0,0.0,240.17478106550837,True,False,False,False,2.0500000000000007,27,240.17478106550837,58.24408817807634,2.05,29.05,14.045308834240254
99,3.4700000000000024,29,False,False,False,0.0,0.0,0.0,0.0,423.87642728283987,True,False,False,False,1.4200000000000017,29,423.87642728283987,58.240045939461496,3.47,32.52,24.78809516273917
100,-1.5100000000000016,21,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-4.980000000000004,21,-107.70721632274541,58.23600370084665,-1.51,31.01,-6.298667621213181
101,-0.010000000000001563,22,False,False,True,0.0,0.0,0.0,0.0,46.171880867803296,True,False,False,False,0.0,22,46.171880867803296,58.23196146223181,-0.01,31.0,2.7001099922691982
102,0.620000000000001,24,False,False,True,0.0,0.0,0.0,0.0,113.39828488846815,True,False,False,False,0.0,24,113.39828488846815,58.227919223616965,0.62,31.62,6.63147864844843
103,1.379999999999999,25,False,False,False,0.0,0.0,0.0,0.0,202.27041995455642,True,False,False,False,0.759999999999998,25,202.27041995455642,58.22387698500212,1.38,33.0,11.828679529506223
104,-0.6300000000000026,21,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-2.0100000000000016,21,-17.288937807620563,58.21983474638728,-0.63,32.37,-1.0110489945976937
105,-1.9399999999999977,21,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,21,-149.33307155661268,58.215792507772434,-1.94,30.43,-8.73292816120542
106,-0.4299999999999997,22,False,False,True,2.4074999455432553,0.0,0.0,0.0,0.0,False,False,False,False,0.0,22,2.4074999455432553,58.206683981393404,-0.43,30.0,0.14078947049960555
107,0.0,22,False,False,True,0.0,0.0,0.0,0.0,45.08861314057835,True,False,False,False,0.0,22,45.08861314057835,58.20264174277856,0.0,30.0,2.636761002373003
108,0.5100000000000016,23,False,False,True,0.0,0.0,0.0,0.0,97.63919891189184,True,False,False,False,0.5100000000000016,23,97.63919891189184,58.19859950416372,0.51,30.51,5.709894673210049
109,1.899999999999995,27,False,False,False,0.0,0.0,0.0,0.0,254.0139779461212,True,False,False,False,1.3899999999999935,27,254.0139779461212,58.19455726554887,1.9,32.41,14.85461859334042
110,0.5900000000000034,24,False,False,True,0.0,0.0,0.0,0.0,116.0148679394743,True,False,False,False,-1.3099999999999916,24,116.0148679394743,58.19051502693403,0.59,33.0,6.7844952011388475
111,-0.7299999999999969,21,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,False,False,-1.3200000000000003,21,-27.97926812913134,58.186472788319186,-0.73,32.27,-1.6362145104755168
112,-0.2700000000000031,22,False,False,True,20.779673913940055,0.0,0.0,0.0,0.0,False,False,False,False,0.0,22,20.779673913940055,58.13870227968343,-0.27,32.0,1.2151856090023423
