,0
418,0.33999999999999986
419,0.9699999999999989
420,1.5400000000000027
421,3.4899999999999984
422,0.0
423,0.0
424,1.5100000000000016
425,0.48999999999999844
426,-1.0
427,0.0
428,0.0
429,0.5399999999999991
430,0.46000000000000085
431,0.8599999999999994
432,-0.8599999999999994
433,0.1700000000000017
434,1.1599999999999966
435,0.6700000000000017
436,0.0
437,0.7999999999999972
438,0.20000000000000284
439,1.1199999999999974
440,0.8800000000000026
441,0.0
442,-1.1799999999999997
443,-1.5700000000000003
444,-1.1599999999999966
445,-0.09000000000000341
446,0.0
447,0.0
448,0.0
449,0.0
450,0.8500000000000014
451,0.1599999999999966
452,0.990000000000002
453,-0.3200000000000003
454,-1.1599999999999966
455,-0.5200000000000031
456,0.0
457,0.9500000000000028
458,0.04999999999999716
459,0.0
460,0.4200000000000017
461,0.5799999999999983
462,0.740000000000002
463,0.259999999999998
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.8400000000000034
470,2.1499999999999986
471,0.00999999999999801
472,-0.3100000000000023
473,0.7199999999999989
474,0.9600000000000009
475,-0.36999999999999744
476,0.0
477,-0.8999999999999986
478,0.8999999999999986
479,0.4099999999999966
480,1.1600000000000037
481,1.1599999999999966
482,0.2700000000000031
483,-0.0799999999999983
484,-1.9200000000000017
485,0.0
486,-0.509999999999998
487,-1.8300000000000054
488,-0.6599999999999966
489,-0.990000000000002
490,-1.1499999999999986
491,-1.1599999999999966
492,-1.1600000000000037
493,-3.0
494,-3.0799999999999983
495,-4.18
496,-2.370000000000001
497,-1.1499999999999986
498,-1.1600000000000001
499,-1.1600000000000001
500,-1.870000000000001
501,-1.4399999999999995
502,-1.1600000000000001
503,-1.1600000000000001
504,-1.5
505,-1.8100000000000005
506,-1.1600000000000001
507,-1.9699999999999998
508,-1.3400000000000003
509,-1.1599999999999997
510,-1.1600000000000001
511,-0.71
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,2.36
545,1.58
546,1.3699999999999997
547,2.95
548,1.1600000000000001
549,1.7300000000000004
550,1.58
551,2.049999999999999
552,1.2700000000000014
553,1.3599999999999994
554,2.3099999999999987
555,1.8000000000000007
556,1.8300000000000018
557,1.4799999999999969
558,1.1600000000000001
559,1.1600000000000001
560,1.1600000000000001
561,1.1500000000000021
562,1.1600000000000001
563,1.1600000000000001
564,1.1599999999999966
565,1.240000000000002
566,2.0700000000000003
567,1.1599999999999966
568,1.1500000000000057
569,1.1599999999999966
570,0.28000000000000114
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.8200000000000003
577,0.17999999999999972
578,0.0
579,0.29999999999999716
580,0.7000000000000028
581,0.0
582,0.0
583,0.9299999999999997
584,0.07000000000000028
585,0.0
586,0.0
587,0.5600000000000023
588,1.1499999999999986
589,0.28999999999999915
590,-0.030000000000001137
591,-0.7899999999999991
592,0.4799999999999969
593,-0.6599999999999966
594,0.0
595,0.8100000000000023
596,0.18999999999999773
597,0.0
598,0.0
599,0.4399999999999977
600,0.5600000000000023
