,metbinyearfuelsource,Meteo ID,SourceTypeID,Location-season,opModeBin,year,FuelId,1,2,3,5,6,31,33,79,87,90,91,98,100,101,102,105,106,107,110,112,115,116,117
67,137201920232,1,32,Atlanta Summer,37,2019,202,0.000438988888889,0.00478958333333,0.00283525,0.000256632777778,1.58701944444e-05,7.39877777778e-05,0.00112842777778,0.000182355833333,0.000238120277778,8.60183333333,0.00011068185674,8.60825,7.99388888889e-05,,,,,,7.35436111111e-05,7.03669444444e-06,5.11930555556e-05,,
68,138201920232,1,32,Atlanta Summer,38,2019,202,0.000546786111111,0.0216053888889,0.00383883333333,0.00031965,1.58701944444e-05,9.21791666667e-05,0.00152785555556,0.000227135,0.000296591666667,10.7167777778,0.00013789578907,10.7247777778,9.15261111111e-05,,,,,,8.42036111111e-05,8.19394444444e-06,5.85077777778e-05,,
69,139201920232,1,32,Atlanta Summer,39,2019,202,0.000609525,0.0226943055556,0.00462777777778,0.000356327777778,1.58701944444e-05,0.000115346388889,0.00184185277778,0.000253196666667,0.000330625,13.4102222222,0.000172552717675,13.4191388889,0.000120886388889,,,,,,0.000111215,1.15488055556e-05,7.67172222222e-05,,
70,140201920232,1,32,Atlanta Summer,40,2019,202,0.000662666666667,0.0615955555556,0.00758233333333,0.000387394444444,1.58701944444e-05,0.000150348611111,0.00301777777778,0.000275271944444,0.00035945,17.4795833333,0.000224914341275,17.4892777778,0.000147178611111,,,,,,0.000135403888889,1.39074166667e-05,9.35208333333e-05,,
71,1300201920232,1,32,Atlanta Summer,300,2019,202,0.000218035555556,0.00184312777778,0.00164575833333,0.000127463611111,1.58701944444e-05,1.68971944444e-05,0.000655011111111,9.05719444444e-05,0.000118268888889,1.96447222222,2.52773842295e-05,1.97238888889,3.39188888889e-05,,,,,,3.12052777778e-05,2.85702777778e-06,2.18207222222e-05,,
72,100201922032,1,32,Atlanta Summer,0,2019,220,0.000206150277778,0.000862913888889,0.00129756388889,0.000120515555556,1.58701944444e-05,1.55472777778e-05,0.000516430555556,8.56347222222e-05,0.000111821944444,1.80753055556,2.3257954798e-05,1.81054166667,4.08408333333e-05,,,,,,3.75733333333e-05,3.42658333333e-06,2.62841944444e-05,,
73,101201922032,1,32,Atlanta Summer,1,2019,220,0.000165042777778,0.000744541666667,0.00204692777778,9.64838888889e-05,1.58701944444e-05,1.27029444444e-05,0.000814677777778,6.85588888889e-05,8.95238888889e-05,1.47684722222,1.9002993659e-05,1.47926111111,4.40944444444e-05,,,,,,4.05666666667e-05,3.68258333333e-06,2.83911111111e-05,,
74,111201922032,1,32,Atlanta Summer,11,2019,220,0.000247916111111,0.00231263611111,0.000561780555556,0.000144931944444,1.58701944444e-05,1.82483055556e-05,0.000223588333333,0.000102984444444,0.000134476944444,2.12155555556,2.7298709295e-05,2.12517777778,1.91060833333e-05,,,,,,1.75775277778e-05,1.64981111111e-06,1.22602222222e-05,,
75,112201922032,1,32,Atlanta Summer,12,2019,220,0.000285225,0.00334755555556,0.00154745555556,0.000166742222222,1.58701944444e-05,2.26350277778e-05,0.000615886111111,0.000118482222222,0.000154714166667,2.63155277778,3.3860762325e-05,2.63572222222,2.47630277778e-05,,,,,,2.27819166667e-05,2.11593055556e-06,1.59074444444e-05,,
76,113201922032,1,32,Atlanta Summer,13,2019,220,0.000341213888889,0.00366266666667,0.001930375,0.000199473055556,1.58701944444e-05,3.39686111111e-05,0.000768288888889,0.00014174,0.000185083888889,3.94919444444,5.08153654775e-05,3.95419444444,3.97691666667e-05,,,,,,3.65875e-05,3.378e-06,2.55627222222e-05,,
77,114201922032,1,32,Atlanta Summer,14,2019,220,0.000331361111111,0.00402294444444,0.00225488333333,0.000193713333333,1.58701944444e-05,4.48158333333e-05,0.000897444444444,0.000137647222222,0.000179739722222,5.21030555556,6.70422558e-05,5.21513888889,5.28525e-05,,,,,,4.86241666667e-05,4.48444444444e-06,3.39761111111e-05,,
78,115201922032,1,32,Atlanta Summer,15,2019,220,0.00031995,0.00470908333333,0.00269652222222,0.0001870425,1.58701944444e-05,5.54983333333e-05,0.00107321666667,0.000132906944444,0.00017355,6.45225,8.30227137025e-05,6.45691666667,6.71361111111e-05,,,,,,6.1765e-05,5.83030555556e-06,4.30552777778e-05,,
