HD-UDDS	OCTA	Manhattan	NYBC	NYCC	WMATA	Paris	ETC-Urban	SF	KCMC	Beeline	CSHVC	CBD (SAE)	WVU-5PEAK
0	0	9.9	0	1	0	13.6	10.2	0	50	26.1	32.2	20	5
0	0	6.3	0	2.19	0	12	9.6	0	49.8	25.7	32.2	20	4
0	0	4.2	0	3.5	0	11.8	8.9	0	49.5	24.2	32.2	20	3
0	0	2.2	0	1.59	0	13.4	8.2	0	49.3	22	32.5	20	1
0	0	1.1	0	1.56	0	12.8	7.1	0	49	18.7	32.9	20	0
0	0	0.1	0	2	0	12.8	6	0	48.8	15.1	32.5	20	0
0	0	0	0	2.88	0	11.9	5.2	0	48.5	11.1	32.5	20	0
0	0.19	0	0	2.07	0	12.3	5.2	0	48.3	7.5	32.2	20	0
0	1.25	0	0	3.61	0.1	11.8	5.8	0	48	4.5	31.4	20	0
0	3.29	0	0	2	0.7	11.7	6.7	0	47.8	2.4	31.4	20	0
0	5.97	0	0	3.02	2	11.8	7.6	0	47.5	0.8	31.1	20	0
0	8.57	0	0	2.67	4	14.1	8.3	0	47.3	0.2	31.1	20	0
0	10.25	0	0	2.82	6.5	14.2	9.3	0	47	0	31.1	20	0
0	11.7	0	0	1.04	9.1	13.6	10.2	0	46.8	0	30.7	20	0
0	12.95	0	0	0	11.3	12.9	11	0	46.5	0	30.7	20	0
0	14.05	0	0	0	12.7	13.1	11.9	0	46.3	0	30.3	20	0
0	15.04	0	0	0	13.4	12.3	12.7	0	46	0	29.6	15.3	0
0	15.5	0	0	0.61	13.9	11.7	13.3	0	45.8	0	28.9	10.9	0
0	15.55	0	0	3.31	14.4	11.4	13.8	0.78516	45.5	0	27.8	6.5	0
0	15.57	0	0	1.22	15.2	11.1	14.3	1.582	45.3	0	26.7	2	1
0	15.98	0	0	0	16.6	10.5	15	4.7031	45	0	25.9	0	2
0	16.32	0	0	0	18.4	8.4	16	7.8242	44.8	0	25.2	0	3
0	16.47	0	0	0	20.3	1.8	17.1	8.9141	44.5	0	25.2	0	4
0	16.23	0	0	0	22.1	0.8	18.1	10.0039	44.3	0	24.8	0	4
0	15.7	0	0	0	23.2	0.6	18.9	10.1895	44	0	25.2	0	5
0	14.69	0	0	0	23.3	0	19.9	10.375	43.8	0	25.2	0	6
0	13.89	1.5	0	0	22.1	0	20.9	10.793	43.5	0	24.8	0	7
0	13.04	3.3	0	0	19.9	0	22	11.2109	43.3	0	25.2	1.6	8
0	10.81	4.9	0	0	17.2	0	22.8	11.6289	43	0	24.8	3.9	9
0	7.43	6.8	0	0	14.3	0	23.7	11.2305	42.8	0	24.8	6.1	9
0	3.53	8.6	0	0	11.5	0	24.4	10.832	42.5	0	24.8	8.2	10
0	1.59	10.3	0	0	8.9	0	24.9	10.3496	42.3	0	24.8	10.3	11
0	0.54	11.6	0	0	6.8	0	25.2	9.8672	42	0	25.2	12.2	12
0	0	11.8	0	0	5	0	25.4	10.0273	41.8	0	25.6	14.1	13
0	0	11.8	0	0	3.4	0	25.4	10.1875	41.5	0	25.2	16	13
0	0	11.6	0	0.44	2.1	0	25.5	9.4102	41.3	0	25.9	17.7	14
0	0	11.3	0	1.6	1.2	0	25.4	8.6328	41	0	26.3	19.5	15
0	0	11.5	0	2	0.6	0	25.4	7.7539	40.8	0	26.3	20	16
0	0	11.5	0	3.83	0.2	0	25.4	6.875	40.5	0	27	20	16
0	0	11.6	0	1	0	0	25.6	7.4434	40.3	0	27	20	17
0	0	9.1	0	0.77	0	3.3	25.9	8.0117	40	0	27	20	18
0.51	0	6.2	0	0	0	6.7	26.3	9.2188	40	0	27	20	19
0.33	0	4.1	0	0	0	10.4	26.5	10.4258	39.9	0	27	20	19
0	0	2.9	0	0	0	13.1	26.3	11.2435	39.9	0	27.4	20	20
0	0	3.6	0	0	0	14.4	25.4	12.0612	39.8	0	27	20	21
0	0	4.6	0	0	0	16	23.8	12.8789	39.8	0	27.4	20	21
0	0.1	5.5	0	0	0	17.4	21.7	13.1953	39.7	0	27.4	20	22
0	0.97	4.5	0	0	0	18.9	19.6	13.5117	39.7	0	28.1	20	23
0	4.1	2.2	0	0	0	19.8	17.2	13.3086	39.6	0	28.5	20	23
0	7.67	1.5	0	0	0	20.9	14.7	13.1055	39.6	0	29.2	20	24
0	10.5	1	0	0	0	22.1	11.9	11.2207	39.5	0	29.6	20	25
0	13.15	1.8	0	0	0	23.3	9.2	9.3359	39.5	0	30.3	20	25
0	15.57	3.1	0	0	0	23.7	6.9	7.0957	39.4	0	31.4	20	25
0	17.64	4.7	4.3	0	0	21.6	5	4.8555	39.4	0	31.8	20	25
0	19.46	5.9	9.1	0	0	19.5	3.5	3.2266	39.3	0.4	32.2	20	25
0	21.048	8.4	10.9	0	0	17.1	2.3	1.5977	39.3	1.2	33.2	18	25
0	22.45	9.6	10.6	0	0	11.3	1.4	1.6875	39.2	2.5	34	13.6	25
0	23.82	10.8	9.9	0	0	8.5	0.8	1.7773	39.2	4.5	34.3	9.1	25
0	25.03	11	6.7	0.94	0	4.5	0.4	2.1953	39.1	7.1	35.4	4.7	25
0	26.23	10.7	3.3	0	0.2	0.6	0.3	2.6133	39.1	9.6	35.8	0.2	25
0	27.47	10.6	2.8	0	1.1	0	0	3.0313	39	12.3	36.9	0	25
0	28.58	10.5	0.3	0	2.7	0	0	4.7188	39	14.6	37.3	0	25
0	29.64	10.3	0	0	4.9	0	0	6.4063	38.9	16.7	37.6	0	25
0	30.61	10.1	0	0	7.3	0	0	6.5684	38.9	18.7	37.3	0	25
0.13	31.62	10.2	0	0	9.7	3.5	0	6.7305	38.8	20.7	37.6	0	25
0.71	32.59	9.3	0	0.17	11.7	4.6	0	5.252	38.9	22.6	36.5	0	25
0	33.03	7.8	0	1.32	13.1	3.8	0	3.7734	39	24.5	36.9	0.2	25
0	31.78	6.7	0	2	13.9	1.7	0	2.4063	39	26.2	36.2	2.5	25
0	29.22	7.2	0	1.36	14.6	3.7	0	1.0391	39.1	27.7	36.2	4.8	25
0	26.44	8.2	0	1	15	4.1	0	0.51953	39.2	29.3	35.8	7	25
4.15	23.16	9.5	0	1	15.5	3.8	0.3	0	39.3	30.8	36.2	9	25
6	19.3	10.8	0	2.11	16.1	3.7	0	0	39.4	32.2	36.2	11.1	25
6	15.8	11.9	0	3	16.7	3.7	0	0	39.4	33.4	35.8	13	25
6	12.55	12.7	0	2.15	17.3	3.7	0	0	39.5	34.2	35.8	14.9	25
5.3	8.14	13.4	0	1	17.9	3.7	0	0	39.6	34.5	36.2	16.7	25
4.14	4.51	14.1	0	0.26	18.4	3.5	0	0	39.7	34	35.8	18.4	25
1.96	1.95	13.2	0	0	18.7	3	0	0	39.8	33	36.2	20	25
0	0.42	13.4	0	0	19	0.9	0	0	39.8	31.6	35.8	20	25
0	0.14	13	0	0	19.3	0.3	0	0	39.9	29.8	36.2	20	25
0	0	10.8	0	0	19.5	1.4	0	0	40	28.1	35.4	20	25
0	0	7.7	0	0	19.8	0	0	0	40	25.8	35.8	20	25
0	0	4.4	0	0	20	0	0	0	41	23.2	35.4	20	25
0	0	1.8	0	0	20.2	0	0	0	41	20.2	35.1	20	25
0	0	2.1	0	0	20.5	0	0	0	41	17	35.1	20	25
0	0	2.8	0	1.69	20.9	0	0	0	42	13.6	35.1	20	25
0	0	2.2	0	0	21.3	0	0	0	42	10.3	34.7	20	25
0	0	0.8	0	0	21.9	0	0	0	42.5	7.3	34.7	20	25
0	0	0.1	0	0	22.6	0	0	0	43	4.6	34.3	20	25
0	0	0	0	0	23.5	0.4	0	0	43.5	2.7	34	20	25
0	0	0	0	0	24.5	2.9	0	0	44	1.2	33.2	20	25
0	0	0	0	0	25.7	4.4	0.3	0	44.5	0.4	32.9	20	25
0	0	0	0	0	27	6	0.6	0	45	0.1	31.4	20	25
0	0.51	0	0	0	28.4	7.4	1.3	0	45.5	0	29.6	20	25
0	1.88	0	0	0	29.9	8.1	2.4	0	46	0	27.6	20	25
0	4.14	0	0	0	31.5	9.5	4.2	0	46.5	0	25.6	20	25
0	6.64	0	0	0	33.1	8.7	6.1	0	47	0	23.6	16.2	25
0	9.1	0	0	0	34.8	9.8	8	0	47.5	0	21.6	11.8	25
0	11.29	0	0	0	36.4	9.5	9.7	0	48	0	19.6	7.3	25
0.48	12.56	0	4.3	0	37.8	10.1	11	0	48.5	0	17.6	2.9	25
1.64	13.63	0	9.1	0	39.1	10	12	0	49	0	15.6	0	25
0.41	14.76	0	14.1	0	40.2	11.8	12.8	0	49.5	0	13.6	0	25
0	15.75	0	14.8	0	41	12.9	14	0	50	0	12.1	0	25
0	16.43	0	14.4	0	41.5	14.6	15.3	0	50.5	0	11.3	0	25
0	17.03	0	13.9	0.15	41.7	15.4	16.6	0	51	0	11.3	0	25
0	17.59	0	13.6	1	41.6	15.1	17.8	0	51.5	0	11.7	0	25
0	18.06	0	13.8	1	41.3	14.3	18.7	0.90039	52	0.1	12.1	0	25
0	18.43	0	15.2	1.62	40.8	12.8	19.4	1.8008	52.5	0.3	13.5	1.1	25
0	18.97	1.3	15.2	2	40.3	12.4	20.2	3.3633	53	0.6	15	3.4	25
0	19.61	2.7	14.3	1.06	39.7	11.8	21.1	4.9258	53.5	1.2	16.8	5.7	25
0	20.06	6.8	12.4	1.09	39.1	11.2	22.1	6.4883	54	2	17.9	7.8	25
0	20.6	9.5	9.1	2.5	38.4	10.5	22.9	8.8437	54.5	2.7	19.7	9.9	25
0	20.99	11.9	6.8	4	37.6	7.8	23.4	11.1992	55	3.5	21.2	11.9	25
0	21.24	15.9	3.4	5.13	36.7	5.4	23.5	13.8555	55	4.8	22.7	13.8	25
0	21.42	19.3	2.8	3.11	35.8	3.8	23.3	15.911	55	6.1	24.1	15.6	25
0	21.68	21	1	2.88	34.8	1.9	23	16.9063	55	7.9	25.2	17.4	25
0	21.8	22.5	0.1	2.04	33.3	0.6	22.6	17.3008	55	10	26.7	19.1	25
0	21.81	24.2	0	3.19	31.2	0	22.2	16.9023	55	12.3	27.8	20	25
0	21.77	24.2	0	3.65	28.2	0	21.9	16.5039	55	14.5	29.2	20	25
0	21.58	22.8	0	3	24.4	0	21.7	16.123	55	16.6	30	20	25
0	21.17	21.3	0	3.67	20	0	21.5	15.7422	55	18.7	31.4	20	25
0	20.77	19.6	1.3	3.18	15.5	0	21.3	15.5645	55	20.6	32.2	20	25
0	20.33	17.9	5.9	0.06	11.2	0	20.9	15.3867	55	22.3	33.2	20	25
0	20.06	14.1	9.6	0	7.5	0	20.5	15.2513	55	24.1	34	20	25
0	19.78	9.1	10.2	0	4.4	0	20.3	15.1159	55	25.7	34.7	20	25
0	19.55	6.8	8.4	0	2.3	0	20.3	14.9805	55	27.2	35.1	20	25
0	19.48	4.8	5.7	0	0.9	0	20.8	13.7461	55	28.7	35.1	20	25
0	19.4	2.5	4.7	0	0.2	0	21.7	12.5117	55	30.1	35.4	20	25
0	19.16	0.2	4.4	0	0	0	22.7	10.3769	55	31.2	35.1	20	25
0	18.77	0	5.1	0	0	0	23.8	8.2422	55	32.2	34.7	20	25
0	18.2	0	7.4	0	0	0	24.8	4.0586	55	32.5	34.3	20	25
0	17	0	9	0.4	0	0	25.6	0	55	31.6	34	20	25
0	15.63	0	8.8	0.44	0.3	0.1	26.4	0	55	29.8	33.6	20	25
0	13.45	0	7.5	0	0.6	3.2	27.4	0	55	27.7	32.9	20	25
0	9.86	0	4.5	0	1.1	7.3	28.3	0	55	25.2	32.5	20	25
0	6.06	0	3.1	0	1.3	9.9	29.2	0.011719	55	22.8	31.8	18.9	25
0	1.76	0	2.1	0	1.5	11.2	30	0.0058594	55	21.1	31.4	14.5	25
0	0.1	0	0.2	0	1.5	12.6	30.5	0	55	19.2	29.6	10	24
0	0	0	0	0	1.5	12.5	30.8	0.18164	55	17.3	28.5	5.6	22
0	0	0	0	0	1.4	12	30.9	0.36328	55	15.3	27	1.1	21
0	0	0	0	0	1.3	11	30.8	1.4023	55	13.1	25.6	0	20
0	0	0	0	0	1.2	11.5	30.8	2.4414	55	10.8	23.6	0	18
0	0	0	0	0	0.9	11	30.6	3.4805	55	8.6	21.6	0	17
0	0	0	0	0	0.7	10.8	30.3	4.9121	55	6.4	19.6	0	16
0	0	0	0	0	0.4	10.2	30	6.3438	55	4.3	17.6	0	14
0	0	0	0	0	0.2	9.8	29.7	7.6367	55	3	15.6	0	13
0	0	0	0	0	0	9.3	29.3	8.9297	55	2.7	13.6	0	12
0	0	0	0	0	0	8.5	28.8	9.6777	55	3.7	11.6	2.1	10
0	0	1.6	0	0	0	8.1	28.2	10.4258	55	5.6	9.6	4.3	9
0	0	2.7	0	0	0	7.7	27.4	11.7051	55	8.1	8.8	6.5	8
0	0	3	0	0	0	7.1	26.4	12.9844	55	10.3	8	8.6	6
0	0.17	3.8	0	0	0	7.5	25.3	15.7735	55	12.3	8	10.7	5
0	0.49	5.1	0	0	0	8.4	24.1	18.5625	55	13.8	6.9	12.6	4
0	1.01	7	0	0	0	9.2	22.9	18.5879	55	15.3	6.6	14.5	2
0	1.76	8.4	0	0	0	9.6	21.6	18.6133	55	16.3	4	16.3	1
0	2.73	9.9	0	0	0	10.6	20.3	18.543	55	17.5	0.7	18.1	0
0	4.75	11.3	0	0	0	11.7	19.1	18.4727	55	18.3	0.7	19.8	0
0	7.43	13	0	0	0	12.9	17.9	17.8184	55	19.3	2.6	20	0
0	10.08	14.5	0	0	0	14.2	16.6	17.1641	55	20.2	2.9	20	0
0	12.75	15.5	0	0	0	15.9	15.5	14.7735	55	21.1	3.3	20	0
0	15.43	16.6	0	0	0	16.7	14.3	12.3828	55	22.1	3.3	20	0
0	17.79	17.5	0	0	0	18.5	13.1	9.9922	55	22.8	3.7	20	0
0	19.89	17.1	0	0	0	19.2	12	7.041	55	23.6	3.7	20	0
0	21.82	17.9	0	0	0	19.1	10.9	4.0898	55	24.2	3.3	20	0
0	23.46	16.8	0	0	0	18.2	10.2	3.4805	55	24.7	2.9	20	0
0	25.1	16.4	0	0	0	16.7	10.1	2.8711	55	25.3	2.9	20	0
0	26.59	16.1	0	0	0	15.1	10.4	4.9473	55	25.8	2.9	20	0
0	27.92	16.4	0	0	0	11.7	11.2	7.0234	55	26.3	2.6	20	0
0.24	28.77	16.4	0	0	0	10.6	12.3	8.6777	55	26.8	2.9	20	0
0.6	29.08	16.1	0	0	0	10.7	13.7	10.332	55	27.3	2.6	20	1
0	28.66	16	0	0	0	10.3	15.1	9.6758	55	27.7	2.6	20	2
1.42	26.98	14.7	0	0	0	9.5	16.6	9.0195	55	28.1	2.2	20	3
2	25.19	13.1	0	0	0	8.4	17.7	8.2409	55	28.6	2.2	20	4
