	HD-UDDS	OCTA	Manhattan	NYBC	NYCC	WMATA	Paris	ETC-Urban	SF	KCMC	Beeline	CSHVC	CBD (SAE)	WVU-5PEAK	Custom Input
83	9.32	4.85	11.0	14.5	4.94	0.0	0.0	18.9	0.64453	47.7	0.0	7.7	6.5	20.0	9.670070625
84	10.0	7.09	11.1	15.7	4.0	0.0	0.0	19.6	0.27734	48.2	0.3	5.1	8.6	20.0	8.553546406
85	9.36	8.88	11.8	15.4	4.38	0.0	0.0	20.0	0.17383	48.7	1.1	3.7	10.7	20.0	7.514693438
86	9.0	10.35	12.7	14.3	6.61	0.0	0.0	19.9	0.070313	49.2	2.5	2.6	12.6	20.0	6.184573281
87	9.95	10.77	13.1	13.5	9.39	0.0	0.0	19.2	0.37891	49.7	4.5	2.2	14.5	20.0	4.8156175
88	14.33	9.25	12.4	14.1	10.85	0.0	0.0	17.9	0.6875	50.2	6.9	1.8	16.3	20.0	5.252518281
89	17.53	6.14	9.7	16.0	6.99	0.0	0.0	16.4	3.0176	50.7	9.3	1.1	18.1	20.0	6.737980938
90	19.42	3.74	6.2	15.8	6.0	0.0	0.0	14.8	5.3477	51.2	11.6	0.4	19.8	20.0	8.427330625
91	20.0	2.24	3.5	15.4	5.35	0.0	0.0	12.8	5.8659	51.7	13.6	1.1	20.0	20.0	9.485601406
92	20.74	1.28	1.1	14.5	3.52	0.0	0.0	10.6	6.3841	52.2	15.3	0.7	20.0	20.0	10.32056734
93	21.0	0.53	0.3	13.7	2.36	0.0	0.0	8.3	6.9023	52.7	17.0	1.1	20.0	20.0	11.06815313
94	21.11	0.13	0.0	13.8	3.59	0.9	0.0	6.0	8.0234	53.2	18.6	0.7	20.0	20.0	11.94195469
95	23.84	0.0	0.0	17.0	4.95	2.5	0.0	4.0	9.1445	53.7	20.2	0.0	20.0	20.0	13.04877
96	27.0	0.0	0.0	20.8	3.0	4.9	0.0	2.4	10.4824	54.2	21.7	1.1	20.0	20.0	13.80606469
97	27.0	0.0	0.0	23.7	3.0	7.4	0.0	1.3	11.8203	54.7	23.2	2.6	20.0	20.0	14.15558531
98	29.05	0.0	0.0	27.2	2.15	10.1	0.0	0.6	12.1191	55.1	24.7	2.6	20.0	20.0	14.43714359
99	32.52	0.0	0.0	29.8	0.42	12.4	2.0	0.4	12.418	55.0	26.2	2.9	20.0	20.0	14.54394156
100	31.01	0.0	0.0	30.7	0.0	14.3	4.2	0.5	11.9883	55.0	27.6	2.2	20.0	20.0	14.40801688
101	31.0	0.0	0.0	30.6	0.0	15.5	5.1	0.6	11.5586	55.0	28.8	3.3	20.0	20.0	12.60216031
102	31.62	0.0	0.0	28.4	0.0	16.4	5.6	0.6	11.9395	55.0	30.0	4.7	20.0	20.0	11.08757094
103	33.0	0.0	0.0	26.9	0.0	16.9	5.8	0.4	12.3203	55.0	31.0	6.6	20.0	20.0	9.844830938
104	32.37	0.0	0.0	28.1	0.0	16.9	5.7	0.4	12.4941	55.0	31.7	8.4	20.0	20.0	8.757433438
105	30.43	0.0	0.0	29.5	0.0	16.5	5.0	0.3	12.668	55.0	32.4	10.6	20.0	20.0	7.126337188
106	30.0	0.0	0.0	30.0	0.0	15.8	4.9	0.4	11.6836	55.0	33.0	12.4	20.0	20.0	4.689401719
107	30.0	0.0	0.0	28.0	0.0	15.0	4.4	0.6	10.6992	55.0	33.5	13.9	20.0	20.0	1.718476406
108	30.51	0.3	0.0	26.2	0.0	14.2	4.1	1.0	9.2305	54.0	33.9	15.7	20.0	20.0	0.106797969
109	32.41	1.95	0.0	24.6	0.0	13.6	3.9	1.6	7.7617	54.0	34.0	16.8	17.1	20.0	0.0
110	33.0	5.05	0.0	20.3	0.0	13.4	3.8	2.7	4.8438	54.0	33.9	18.6	12.7	20.0	0.0
111	32.27	8.07	0.0	16.4	0.0	13.7	2.0	4.3	1.9258	54.0	33.5	19.7	8.2	20.0	0.0
112	32.0	10.95	0.0	13.7	0.0	14.3	2.6	6.2	1.2839	54.0	33.5	20.8	3.8	20.0	0.048544531
113	31.04	13.52	0.0	12.1	0.0	15.2	3.1	8.1	0.64193	54.0	33.5	22.3	0.0	20.0	0.019417813
114	32.2	15.81	1.6	8.2	0.0	16.3	3.1	9.7	0.0	53.0	33.4	23.4	0.0	20.0	0.0
115	33.36	17.83	3.5	5.3	0.0	17.6	2.0	11.0	0.0	53.0	33.5	24.8	0.0	20.0	0.0
116	34.0	17.84	5.4	3.2	0.0	18.9	1.5	12.0	0.0	53.0	33.5	25.9	0.0	20.0	0.0
117	34.0	15.86	8.1	1.7	0.0	19.9	1.7	12.8	0.0	53.0	33.5	26.7	0.0	20.0	0.0
118	34.0	13.43	11.0	0.2	0.0	20.6	0.9	13.4	0.0	52.8	32.9	27.8	0.0	20.0	0.0
119	33.01	10.92	14.3	0.0	0.0	21.0	1.5	13.9	0.0	52.6	31.7	28.1	0.0	20.0	0.0
120	31.86	8.66	16.7	0.0	0.0	21.0	1.5	14.5	0.0	52.5	29.3	28.9	0.7	20.0	0.0
121	30.1	6.7	18.0	0.0	0.95	20.5	0.6	15.3	0.0	52.3	26.8	29.2	3.0	20.0	0.0
